zipcode,population,area (sq mi),pop_density
76598,523,0.039,13410.25641
94121,41203,3.081,13373.25544
94706,19615,1.469,13352.62083
91732,61386,4.613,13307.17537
11550,56435,4.259,13250.76309
92662,2756,0.208,13250
2138,36314,2.741,13248.44947
6608,13671,1.032,13247.09302
92655,8337,0.632,13191.4557
94964,5094,0.387,13162.7907
60608,82739,6.302,13129.00666
21201,16972,1.293,13126.06342
90016,47596,3.627,13122.69093
21250,3205,0.245,13081.63265
19111,63090,4.832,13056.7053
90260,34924,2.678,13041.07543
27109,2539,0.195,13020.51282
11426,17590,1.352,13010.35503
55454,8125,0.626,12979.23323
94131,26881,2.077,12942.22436
90280,94396,7.305,12922.10815
53204,42355,3.283,12901.30978
95053,2206,0.171,12900.5848
29117,1160,0.09,12888.88889
60653,29908,2.333,12819.54565
90805,93524,7.367,12694.99118
90247,47487,3.754,12649.70698
19604,27658,2.187,12646.54778
19144,43329,3.434,12617.64706
2909,43540,3.464,12569.28406
90706,76615,6.108,12543.38572
94702,15979,1.274,12542.38619
11413,38912,3.104,12536.08247
92105,69813,5.572,12529.25341
19151,29883,2.393,12487.67238
2907,27445,2.202,12463.66939
10465,42230,3.397,12431.55726
91303,26855,2.163,12415.62644
90222,31869,2.572,12390.7465
20712,9031,0.729,12388.20302
11366,13532,1.093,12380.60384
90059,40952,3.314,12357.27218
33012,72248,5.859,12331.11452
90806,42399,3.442,12318.12899
17401,17687,1.436,12316.85237
2126,25562,2.08,12289.42308
60632,91326,7.433,12286.55994
92804,85914,7.01,12255.92011
7029,16026,1.309,12242.93354
2129,16439,1.351,12168.02369
2149,41550,3.419,12152.67622
7503,18723,1.544,12126.29534
60616,48433,3.998,12114.30715
91801,52735,4.358,12100.73428
90212,11555,0.955,12099.47644
11693,11916,0.985,12097.46193
924,56691,4.693,12079.90624
11001,26883,2.227,12071.3965
91411,24628,2.042,12060.72478
94609,20596,1.708,12058.54801
90211,8434,0.7,12048.57143
60402,63448,5.269,12041.75365
20011,58536,4.872,12014.77833
10801,40827,3.403,11997.35527
7011,39710,3.311,11993.35548
90715,20388,1.701,11985.89065
10552,19786,1.659,11926.46172
21218,49796,4.183,11904.37485
60707,42920,3.608,11895.78714
7020,11513,0.968,11893.59504
95122,56545,4.755,11891.69295
12222,6489,0.546,11884.61538
92707,59492,5.006,11884.13903
2908,37467,3.161,11852.89465
11234,87757,7.41,11843.04993
