month_date_yyyymm,postal_code,zip_name,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_dom_mm_day,median_days_on_market_yy,median_dom_yy_day,median_dom_vs_us,ldp_unique_viewers_per_property_mm,ldp_unique_viewers_per_property_yy,ldp_unique_viewers_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us,quality_flag,id,zip_code
202102,94596,"walnut creek, ca",4700,2954,-807,-2595,68.137963,92.07452833873677,44.20139838287567,18.5,-0.6063829787234043,-28.5,0.02777777777777768,0.5,-45,-0.21261156676555348,0.18740632932922963,0.9362,642450,-0.08090128755364812,-0.43496042216358843,1.8474,1,41,94596
202102,94804,"richmond, ca",1901,2473,572,-1670,71.102691,87.43408460607007,54.77129799617202,25.5,-0.0892857142857143,-2.5,0.41666666666666674,7.5,-38,0.4712064443611841,0.844883480548769,1.1283,517000,-0.0913884007029877,-0.09298245614035083,1.4867,1,68,94804
202102,94601,"oakland, ca",1526,6842,-1908,-6093,46.72669,67.49345728682474,25.959923440490606,47,0,0,1.6111111111111112,29,-16.5,-0.039384000409983244,0.02575287151069694,0.6403,647000,0.08013355592654414,0.1350877192982456,1.8605,1,53,94601
202102,94801,"richmond, ca",4554,3275,-1629,-2207,66.12437,80.78981289793367,51.458927385649,33,0.22222222222222232,6,0.5714285714285714,12,-30.5,0.0025680093639004475,0.8970648402723225,1.0644,537500,0.09247967479674801,-0.022727272727272707,1.5457,1,67,94801
202102,95116,"san jose, ca",2026,1119,539,-1058,80.94801,89.74649427756728,72.1495254091637,22.5,-0.375,-13.5,0.5,7.5,-41,0.36693744922826976,0.2953810623556583,1.5657,828500,0.05006337135614691,0.0554140127388536,2.3825,1,11,95116
202102,94611,"oakland, ca",894,1414,-15,-1313,78.619976,92.46513808054372,64.77481348384829,18,-0.48571428571428577,-17,1,9,-45.5,0.11255793878661646,0.3928243367374509,1.354,1285000,0.17351598173515992,0.11739130434782608,3.6952,1,61,94611
202102,95136,"san jose, ca",1411,3097,-505,-2932,67.143862,87.96531385492754,46.32240928088747,25,-0.375,-15,1.272727272727273,14,-38.5,0.02760444926749872,0.1030723816583714,0.9738,903000,0.016891891891891886,-0.059374020181271026,2.5967,1,31,95136
202102,94603,"oakland, ca",4769,4881,-1863,-4371,57.349322,66.0716378266474,48.627006757548536,48.5,0.18292682926829262,7.5,1.8529411764705883,31.5,-15,0.14991648833446414,0.4439619859085695,1.0129,575950,0.09706851559077312,0.15420841683366726,1.6562,1,55,94603
202102,94607,"oakland, ca",3432,6678,308,-4364,47.630952,85.76227491113629,9.499628920745282,27.5,-0.375,-16.5,0.5277777777777777,9.5,-36,0.16131855309218213,-0.04302884615384617,0.374,671000,0.03389830508474567,-0.026124818577648812,1.9295,1,58,94607
202102,95124,"san jose, ca",1017,2774,-1372,-2608,69.229718,90.89098082106167,47.568454357251674,20.5,-0.47435897435897434,-18.5,0.8636363636363635,9.5,-43,-0.22726053639846733,0.12761377613776137,0.9952,1299500,0.024034672970843163,0.0404323458767013,3.7369,1,19,95124
202102,95110,"san jose, ca",6896,5340,2955,-4753,55.038866,81.14917386039608,28.928557478223503,32.5,-0.5149253731343284,-34.5,0.1607142857142858,4.5,-31,0.4799715165007856,-0.08909931961500184,0.6858,799500,0.06615921310915773,0.06631705160334334,2.2991,0,5,95110
202102,94605,"oakland, ca",1418,2478,-308,-1446,71.032382,89.10980039842194,52.954962696769655,23.5,-0.381578947368421,-14.5,0.3055555555555556,5.5,-40,0.05884064690898172,0.9522575141094631,1.0926,667450,-0.045135908440629424,0.1813274336283186,1.9193,1,56,94605
202102,95112,"san jose, ca",459,5691,292,-5040,53.064333,84.82090543338151,21.307761415569704,28.5,-0.4411764705882353,-22.5,0.017857142857142794,0.5,-35,0.003994240505031943,-0.20970873147490054,0.5718,789250,-0.03749999999999998,-0.043333333333333335,2.2696,0,7,95112
202102,95127,"san jose, ca",1376,3500,-1923,-3408,64.837311,67.79813288543416,61.87648919964064,46.5,0.13414634146341453,5.5,2.1,31.5,-17,0.02446191290619648,0.17902805457611537,1.2808,989950,0.19414957780458386,0.19732704402515733,2.8467,1,22,95127
